#MODEL
truss

#NODES
1,0,0,1,1,2,0,0,0,0,0,0
2,2,0,1,1,2,0,0,0,0,0,0
3,0,1,0,0,2,0,0,0,500,0,0
4,1,1,0,0,2,0,0,0,0,0,0
5,2,1,0,0,2,0,0,0,0,0,0
6,0,2,0,0,2,0,0,0,1000,-210,0
7,1,2,0,0,2,0,0,0,0,-210,0
8,2,2,0,0,2,0,0,0,0,-210,0

#BARS
1,1,3,200000,0.0146,0,Local,0,0
2,2,4,200000,0.0146,0,Local,0,0
3,3,6,200000,0.0146,0,Local,0,0
4,3,7,200000,0.0146,0,Local,0,0
5,1,4,200000,0.0146,0,Local,0,0
6,3,4,200000,0.0146,0,Local,0,0
7,2,5,200000,0.0146,0,Local,0,0
8,4,5,200000,0.0146,0,Local,0,0
9,5,7,200000,0.0146,0,Local,0,0
10,6,7,200000,0.0146,0,Local,0,0
11,5,8,200000,0.0146,0,Local,0,0
12,7,8,200000,0.0146,0,Local,0,0
