#MODEL
frame

#NODES
1,0,0,1,1,1,0,0,0,0,0,0
2,4,0,1,1,1,0,0,0,0,0,0
3,8,0,1,1,1,0,0,0,0,0,0
4,0,3,0,0,0,0,0,0,0,0,0
5,4,3,0,0,0,0,0,0,0,0,0
6,8,3,0,0,0,0,0,0,-300,0,0
7,0,6,0,0,0,0,0,0,0,0,0
8,4,6,0,0,0,0,0,0,0,0,0
9,8,6,0,0,0,0,0,0,-300,0,0

#ELEMENTS
1,1,4,100000,0.11,0.00123,local,0,0
2,2,5,100000,0.11,0.00123,local,0,0
3,4,5,100000,0.11,0.00123,local,0,-150
4,4,7,100000,0.11,0.00123,local,0,0
5,5,6,100000,0.11,0.00123,local,0,-150
6,5,8,100000,0.11,0.00123,local,0,0
7,3,6,100000,0.11,0.00123,local,0,0
8,7,8,100000,0.11,0.00123,local,0,-100
9,8,9,100000,0.11,0.00123,local,0,-150
10,6,9,100000,0.11,0.00123,local,0,0
